랭크,노래제목,가수
1,퀸카 (Queencard),(여자)아이들
2,I AM,IVE (아이브)
3,Spicy,aespa
4,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
5,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
6,Kitsch,IVE (아이브)
7,사랑은 늘 도망가,임영웅
8,모래 알갱이,임영웅
9,헤어지자 말해요,박재정
10,우리들의 블루스,임영웅
11,다시 만날 수 있을까,임영웅
12,Hype boy,NewJeans
13,무지개,임영웅
14,London Boy,임영웅
15,이제 나만 믿어요,임영웅
16,Polaroid,임영웅
17,아버지,임영웅
18,꽃,지수 (JISOO)
19,손오공,세븐틴 (SEVENTEEN)
20,Ditto,NewJeans
21,인생찬가,임영웅
22,A bientot,임영웅
23,손이 참 곱던 그대,임영웅
24,사랑해 진짜,임영웅
25,연애편지,임영웅
26,Cupid,FIFTY FIFTY
27,OMG,NewJeans
28,사건의 지평선,윤하 (YOUNHA)
29,보금자리,임영웅
30,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
31,I Don't Think That I Like Her,Charlie Puth
32,Take Two,방탄소년단
33,Dynamite,방탄소년단
34,Attention,NewJeans
35,Dangerously,Charlie Puth
36,Allergy,(여자)아이들
37,After LIKE,IVE (아이브)
38,물론,허각
39,LOVE DIVE,IVE (아이브)
40,Butter,방탄소년단
41,Teddy Bear,STAYC(스테이씨)
42,심(心),DK(디셈버)
43,사람 Pt.2 (feat. 아이유),Agust D
44,Like Crazy,지민
45,Candy,NCT DREAM
46,사랑하지 않아서 그랬어,임한별
47,봄날,방탄소년단
48,사랑..그게 뭔데,지아
49,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단"
50,ANTIFRAGILE,LE SSERAFIM (르세라핌)
51,Permission to Dance,방탄소년단
52,Still With You,정국
53,The Planet,방탄소년단
54,잠깐 시간 될까,이무진
55,사랑인가 봐,멜로망스
56,Heaven(2023),임재현
57,나에게 그대만이,탑현
58,Steal The Show (From “엘리멘탈”),Lauv
59,"Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)","Fast & Furious: The Fast Saga, 지민"
60,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
61,너의 모든 순간,성시경
62,빛이 나는 너에게,던 (DAWN)
63,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
64,NIGHT DANCER,imase
65,사랑의 바보,제이세라
66,KNOCK,이채연
67,Broken Melodies,NCT DREAM
68,Thirsty,aespa
69,찬란한 하루,멜로망스
70,HARD,SHINee (샤이니)
71,첫 키스에 내 심장은 120BPM,경서
72,on the street (with J. Cole),"j-hope, J. Cole"
73,That's Hilarious,Charlie Puth
74,TOMBOY,(여자)아이들
75,STAY,"The Kid LAROI, Justin Bieber"
76,여행 Again (Feat. Cautious Clay),빈지노 (Beenzino)
77,Nxde,(여자)아이들
78,그중에 그대를 만나,김호중
79,해요 (2022),#안녕
80,취중고백,김민석 (멜로망스)
81,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
82,부동의 첫사랑,10CM
83,안녕이라고 말하지마,V.O.S
84,사랑하지 않아서 그랬니,지아
85,다정히 내 이름을 부르면,"경서예지, 전건호"
86,한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드)),이홍기 (FT아일랜드)
87,Monologue,테이
88,나의 바람 (Wind And Wish),비투비
89,사랑하기 싫어,지아
90,CHRISTIAN,Zior Park
91,Love Me Like This,NMIXX
92,그라데이션,10CM
93,ELEVEN,IVE (아이브)
94,Shut Down,BLACKPINK
95,FRIEND THE END,볼빨간사춘기
96,FEARLESS,LE SSERAFIM (르세라핌)
97,내가 아니라도,주호
98,한강에서 (Feat. BIG Naughty),폴킴
99,당신을 만나,"김호중, 송가인"
100,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
