,메뉴명,가격
0,오리 영양도시락,"6,900원"
1,통살 오징어튀김,"2,900원"
2,미나리 오징어 덮밥(매운맛),"5,500원"
3,미나리 오징어 덮밥(오리지널),"5,500원"
4,열무 감초고추장 비빔밥,"4,500원"
5,열무 두부강된장 비빔밥,"4,900원"
6,해바라기,"10,000원"
7,매화,"10,500원"
8,진달래,"7,800원"
9,개나리,"8,500원"
10,돈까스도련님고기고기,"6,300원"
11,탕수육도련님고기고기,"6,000원"
12,새치 고기고기,"7,000원"
13,돈치 고기고기,"6,000원"
14,카츠카츠 도시락,"4,800원"
15,숯불직화구이,"6,600원"
16,소불고기,"5,500원"
17,메가치킨제육,"7,500원"
18,칠리 찹쌀탕수육도련님,"4,400원"
19,동백,"6,000원"
20,치킨제육,"4,900원"
21,돈까스도련님,"4,800원"
22,제육볶음,"4,500원"
23,돈치스팸 도시락,"5,000원"
24,제육 김치찌개 정식,"8,600원"
25,제육 김치 부대찌개 정식,"9,000원"
26,돈치스팸 김치 부대찌개 정식,"9,000원"
27,빅치킨마요 김치 부대찌개 정식,"8,000원"
28,치킨마요 김치 부대찌개 정식,"7,400원"
29,빅치킨마요 김치찌개 정식,"7,500원"
30,치킨마요 김치찌개 정식,"6,900원"
31,새후마요,"4,500원"
32,메가스팸마요,"5,800원"
33,스팸마요,"3,900원"
34,메가치킨마요,"6,000원"
35,왕치킨마요,"5,000원"
36,빅치킨마요,"4,300원"
37,치킨마요,"3,700원"
38,참치마요,"3,500원"
39,돈치마요,"4,000원"
40,돈까스 카레,"4,700원"
41,스팸 김치볶음밥,"4,700원"
42,김치볶음밥,"3,900원"
43,스팸철판볶음밥,"4,700원"
44,소불고기 철판볶음밥,"4,900원"
45,나시고랭,"6,200원"
46,묵은지 김치찌개,"4,900원"
47,김치 부대찌개,"6,000원"
48,숯불직화구이 덮밥,"6,000원"
49,마파두부 덮밥,"5,000원"
50,왕카레돈까스덮밥,"6,000원"
51,새우돈까스 덮밥,"4,200원"
52,돈까스 덮밥,"4,100원"
53,아보카도 훈제 닭가슴살 명란 비빔밥,"6,500원"
54,아보카도 소불고기 명란 비빔밥,"6,500원"
55,소불고기 감초고추장 비빔밥,"5,400원"
56,시골제육 두부강된장 비빔밥,"5,200원"
57,참치야채 감초고추장,"3,500원"
58,튼튼도시락,"5,000원"
59,반찬 묵은지김치찌개,"4,400원"
60,반찬 카레,"2,900원"
61,반찬 순살 고등어 간장구이,"3,900원"
62,반찬 김치 부대찌개,"4,900원"
63,반찬 치킨,"3,800원"
64,반찬 고기고기,"3,600원"
65,반찬 돈까스 도련님,"4,100원"
66,반찬 제육볶음,"3,500원"
67,반찬 토네이도 소세지,"2,800원"
68,반찬 반달돈까스,"2,900원"
69,치즈버터 해시 포테이토 스틱,"2,200원"
70,허니버터 해시 포테이토 스틱,"2,200원"
71,해시 포테이토 스틱,"2,000원"
72,뉴 감자고로케,"2,700원"
73,미니 찹쌀핫도그,"2,800원"
74,미니 찹쌀탕수육,"2,200원"
75,케이준후라이,"1,900원"
76,통현미 닭강정(소),"3,500원"
77,통현미 닭강정(중),"8,500원"
78,후라이드 순살(중),"7,500원"
79,후라이드 순살(소)_양념치킨소스,"4,000원"
80,후라이드 순살(소)_케이준소스,"4,000원"
81,오리지널 닭강정(중),"8,500원"
82,오리지널 닭강정(소),"3,500원"
83,반찬 무생채,400원
84,3종 미니반찬B,"1,300원"
85,3종 미니반찬A,"1,300원"
86,반찬 열무김치,500원
87,오징어젓갈,600원
88,한솥 두부강된장소스,"1,800원"
89,한솥 감초볶음고추장소스,500원
90,볶음김치,500원
91,김치,400원
92,무말랭이 무침,500원
93,한솥밥,"1,000원"
94,현미밥,"1,700원"
95,리얼 티라미수 찰떡,"1,700원"
96,리얼꿀 미니호떡,"2,200원"
